"table_name","column_name","data_type"
"authors","author_id","integer"
"authors","name","character varying"
"authors_to_books","author_id","integer"
"authors_to_books","book_id","integer"
"bookmarks","user_id","integer"
"bookmarks","book_id","integer"
"bookmarks","status","integer"
"books","book_id","integer"
"books","name","character varying"
"books","book_cover","integer"
"books","creation_date","integer"
"books","description","text"
"books","page_count","integer"
"books","format","integer"
"books","locator","integer"
"books","owner","integer"
"books_to_desks","book_desk_id","integer"
"books_to_desks","desk_id","integer"
"books_to_desks","book_id","integer"
"desks","desk_id","integer"
"desks","name","character varying"
"genres","genre_id","integer"
"genres","name","character varying"
"genres_to_books","genre_id","integer"
"genres_to_books","book_id","integer"
"images","image_id","integer"
"images","image","bytea"
"invites","desk_id","integer"
"invites","user_id","integer"
"invites","status","integer"
"reviews","book_desk_id","integer"
"reviews","user_id","integer"
"reviews","evaluation_mark","integer"
"reviews","description","text"
"users","user_id","integer"
"users","name","character varying"
"users","avatar","integer"
"users","password","character varying"
"users_to_desks","desk_id","integer"
"users_to_desks","user_id","integer"
"users_to_desks","background","bytea"
"users_to_desks","sort","integer"
